Stellaria,Elaphria-grata,Nathalis-iole,Lobocleta-ossularia,,,,,,,,,,,,
Symplocarpus,,,,,,,,,,,,,,,
Thalictrum,Clossiana-eunomia,Herpetogramma-pertextalis,Melanchra-adjuncta,Eosphoropteryx-thyatyroides,Calyptra-canadensis,Lacanobia-subjuncta,,,,,,,,,
Spartina,Automeris-louisiana,Leucanopsis-longa,Chortodes-enervata,Problema-bulenta,Doryodes-bistrialis,Poanes-aaroni,,,,,,,,,
Spiraea,Hyalophora-cecropia,Celastrina-argiolus,Paonias-excaecata,Hemileuca-nevadensis-complex,Hemileuca-lucina,Trichordestra-tacoma,Basilarchia-lorquini,Lithophane-fagina,Smerinthus-jamaicensis,Acronicta-noctivaga,"""Sphinx-""""gordius""""""",Orgyia-antiqua,Metarranthis-duaria,Phlogophora-periculosa,Cryptocala-acadiensis
Smilax,Oiketicus-abbotii,Phosphila-miselioides,Phyprosopus-callitrichoides,Marmara-smilacisella,Phosphila-turbulenta,,,,,,,,,,
Sorbus,Malacosoma-californica,Antheraea-polyphemus,Papilio-glaucus,Pandemis-limitata,Phyllonorycter-crataegella,Sparganothis-pettitana,Synanthedon-scitula,Euzophera-semifuneralis,Spilonota-ocellana,Machimia-tentoriferella,Acronicta-barnesii,Argyresthia-conjugella,Acronicta-pruni,Parornix-strobivorella,
Sambucus,Hyalophora-cecropia,Trichordestra-tacoma,Lithophane-fagina,Anaplectoides-pressus,Proteoteras-moffatiana,Paradiarsia-littoralis,Hyles-lineata,Acerra-normalis,Feralia-februalis,Achatodes-zeae,Cryptocala-acadiensis,Xestia-smithii,Phlyctaenia-coronata,Zotheca-tranquilla,Eueretagrotis-attentus
Sanguinaria,,,,,,,,,,,,,,,
Schizachyrium,Atrytone-arogos,Hesperia-meskei,Nastra-lherminier,Hesperia-miriamae,,,,,,,,,,,
Rosa,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Hemileuca-maia,Basilarchia-arthemis,Morrisonia-confusa,Paonias-excaecata,Malacosoma-americana,Hyalophora-columbia,Hemileuca-eglanterina,Archips-argyrospila,Argyrotaenia-citrana,Archips-cerasivorana,Nymphalis-antiopa
Rudbeckia,Synchlora-aerata,Charidryas-nycteis,Papaipema-nelita,Epiblema-arizonana,Marmara-auratella,,,,,,,,,,
Ruellia,Junonia-coenia,Junonia-evarete,Anthanassa-texana,Anartia-jatrophae,Anthanassa-frisia,Junonia-sp.,Siproeta-stelenes,Anartia-fatima,,,,,,,
Rhododendron,Hyalophora-cecropia,Automeris-io,Choristoneura-rosaceana,Hyalophora-columbia,Archips-argyrospila,Callosamia-promethea,Apatelodes-torrefacta,Amphipyra-pyramidoides,Polygonia-faunus,Darapsa-choerilus,Prolimacodes-badia,Acronicta-tritona,Darapsa-versicolor,Schizura-concinna,Sphinx-perelegans
Podophyllum,Papaipema-cerina,,,,,,,,,,,,,,
Phlox,Gazoryctra-wielgusi,Schinia-indiana,,,,,,,,,,,,,
Celastrus,Samia-cynthia,Pleuroprucha-insulsaria,,,,,,,,,,,,,
Celtis,Hyalophora-cecropia,Automeris-io,Basilarchia-arthemis,Choristoneura-rosaceana,Nymphalis-antiopa,Phyllodesma-americana,Oiketicus-abbotii,Thyridopteryx-ephemeraeformis,Sphinx-drupiferarum,Asterocampa-clyton,Hyphantria-cunea,Asterocampa-celtis,Libytheana-bachmanii,Megalopyge-pyxidifera,Automeris-randa
